[[ 67.05882353 100.         772.94117647]
 [122.94117647 155.88235294 881.76470588]
 [108.82352941 255.29411765 975.29411765]
 [147.05882353 197.64705882 755.88235294]
 [125.88235294 148.23529412 781.17647059]
 [125.88235294 194.11764706 765.29411765]
 [155.88235294 157.05882353 827.64705882]
 [141.17647059 178.82352941 801.17647059]
 [142.94117647 173.52941176 818.82352941]
 [138.82352941 179.41176471 797.64705882]
 [133.52941176 172.35294118 806.47058824]
 [138.23529412 174.70588235 803.52941176]
 [140.         170.         800.58823529]
 [135.29411765 169.41176471 802.35294118]
 [142.35294118 174.70588235 801.17647059]
 [139.41176471 180.58823529 804.11764706]
 [145.29411765 174.70588235 800.        ]
 [148.23529412 177.64705882 799.41176471]
 [137.64705882 170.58823529 804.70588235]
 [134.70588235 174.70588235 803.52941176]
 [138.82352941 179.41176471 800.        ]
 [142.94117647 172.35294118 800.58823529]
 [139.41176471 168.23529412 804.11764706]
 [141.17647059 171.76470588 793.52941176]
 [144.11764706 181.17647059 800.        ]
 [135.88235294 171.76470588 801.76470588]
 [141.17647059 172.35294118 795.29411765]
 [142.94117647 180.         795.88235294]
 [142.94117647 167.05882353 802.94117647]
 [141.17647059 178.23529412 797.05882353]
 [138.23529412 178.82352941 804.11764706]
 [142.94117647 173.52941176 795.29411765]
 [143.52941176 181.76470588 794.70588235]
 [146.47058824 177.64705882 792.94117647]
 [148.23529412 162.94117647 801.76470588]
 [137.05882353 179.41176471 803.52941176]
 [143.52941176 165.88235294 791.76470588]
 [142.35294118 173.52941176 795.88235294]
 [142.94117647 168.23529412 796.47058824]
 [138.23529412 172.35294118 800.        ]
 [141.76470588 175.29411765 801.17647059]
 [147.64705882 174.70588235 801.17647059]
 [135.29411765 177.05882353 801.17647059]
 [146.47058824 171.17647059 802.35294118]
 [142.94117647 174.11764706 801.17647059]
 [142.35294118 168.23529412 798.82352941]
 [145.29411765 172.35294118 803.52941176]
 [144.70588235 174.11764706 794.70588235]
 [142.35294118 175.88235294 800.        ]
 [140.         178.23529412 798.23529412]
 [130.58823529 180.         803.52941176]
 [147.05882353 173.52941176 798.82352941]
 [140.         170.         802.35294118]
 [147.64705882 172.94117647 796.47058824]
 [142.35294118 178.23529412 793.52941176]
 [137.05882353 169.41176471 798.23529412]
 [143.52941176 179.41176471 798.82352941]
 [140.58823529 165.29411765 797.05882353]
 [136.47058824 181.17647059 801.17647059]
 [141.76470588 178.82352941 801.17647059]
 [131.76470588 170.         798.82352941]
 [141.76470588 172.94117647 800.        ]
 [137.05882353 169.41176471 798.23529412]
 [141.17647059 180.58823529 804.11764706]
 [144.70588235 173.52941176 801.17647059]
 [137.64705882 173.52941176 793.52941176]
 [137.05882353 174.70588235 796.47058824]
 [139.41176471 174.11764706 800.58823529]
 [134.70588235 170.58823529 798.82352941]
 [145.88235294 175.88235294 799.41176471]
 [133.52941176 170.58823529 803.52941176]
 [138.23529412 177.05882353 802.94117647]
 [139.41176471 176.47058824 795.88235294]
 [138.23529412 172.94117647 802.35294118]
 [144.70588235 175.29411765 804.11764706]
 [137.64705882 172.94117647 802.35294118]
 [145.88235294 170.         795.88235294]
 [143.52941176 170.         794.70588235]
 [144.70588235 170.58823529 804.11764706]
 [137.05882353 178.23529412 807.05882353]
 [141.76470588 173.52941176 802.35294118]
 [148.82352941 174.70588235 801.17647059]
 [145.29411765 177.64705882 802.94117647]
 [141.76470588 172.35294118 797.05882353]
 [142.94117647 174.70588235 803.52941176]
 [138.82352941 179.41176471 792.35294118]
 [140.58823529 176.47058824 796.47058824]
 [141.76470588 178.23529412 795.88235294]
 [140.         175.88235294 801.17647059]
 [140.         174.70588235 798.23529412]
 [141.76470588 178.82352941 801.76470588]
 [139.41176471 170.         797.64705882]
 [142.94117647 174.70588235 798.23529412]
 [134.11764706 178.23529412 797.64705882]
 [140.         172.94117647 794.70588235]
 [142.35294118 177.05882353 797.64705882]
 [138.82352941 177.64705882 794.70588235]
 [135.88235294 169.41176471 805.29411765]
 [138.23529412 173.52941176 808.82352941]
 [143.52941176 171.17647059 801.76470588]]
